Name,Configuration,Price,Average Price
Roha Vatika,"1, 2 BHK Apartments",88.5 L - 1.23 Cr,18.76 K/sq.ft
Supreme Elenor,"2, 3 BHK Apartments",2.43 Cr - 3.6 Cr,28.22 K/sq.ft
Alfa Mana A M Residency,"1, 2, 3 BHK Apartments",1.4 Cr - 2.8 Cr,40.00 K/sq.ft
Monte South,"2, 2.5, 3, 3.5 BHK Apartments",3.99 Cr - 7.37 Cr,46.89 K/sq.ft
Imperial Splendora,"1, 2 BHK Apartments",33.8 L - 53.82 L,5.20 K/sq.ft
Mariyam Heritage,"1, 2 BHK Apartments",31.35 L - 41.8 L,8.71 K/sq.ft
KP Krishna,"1, 2 BHK Apartments",1.41 Cr - 1.93 Cr,29.00 K/sq.ft
Aplite Greenstone Heritage,"1, 2 BHK Apartments",1.38 Cr - 2.72 Cr,"Apr, 2024"
Oyster Living Celestial Living,"1, 2 BHK Apartments",56.7 L - 84.6 L,"Dec, 2025"
Integrated Arya,"1, 2 BHK Apartments",1.08 Cr - 1.5 Cr,22.11 K/sq.ft
Samar Heights,2 BHK Apartment,1.49 Cr,24.35 K/sq.ft
Kukreja Gardens,"1, 2 BHK Apartments",1.09 Cr - 1.39 Cr,20.00 K/sq.ft
Romell Vasanthi,2 BHK Apartment,1.43 Cr,26.14 K/sq.ft
Srishti Launch Code Blockbuster Living,1 BHK Apartment,75.0 L,19.04 K/sq.ft
Guru Dwarka,"1, 2 BHK Apartments",79.49 L - 1.11 Cr,16.01 K/sq.ft
K Raheja Vivarea Building No 3 Tower E,"3, 4 BHK Apartments",12.25 Cr - 19.5 Cr,50.65 K/sq.ft
2 BHK Flat for sale in Andheri West,1050 sq.ft,2.65 Cr,25.24 K/sq.ft
3 BHK Flat for sale in Santacruz West,1550 sq.ft,4.75 Cr,30.64 K/sq.ft
2 BHK Flat for sale in Mira Road East,1050 sq.ft,88.0 L,8.38 K/sq.ft
Codename Hello Epic,"2, 2.5 BHK Apartments",2.5 Cr - 3.92 Cr,35.12 K/sq.ft
Meru Yojan One,"1, 2 BHK Apartments",92.25 L - 1.48 Cr,25.00 K/sq.ft
Supreme Melange,3 BHK Apartment,5.85 Cr - 8.5 Cr,43.40 K/sq.ft
Vihar Heights,"1, 2 BHK Apartments",91.68 L - 1.27 Cr,24.00 K/sq.ft
Shree Mount Resort,"3, 4 BHK Apartments",4.36 Cr - 5.3 Cr,35.02 K/sq.ft
1 BHK Flat for sale in Kandivali West,511 sq.ft,84.0 L,16.44 K/sq.ft
2 BHK Flat for sale in Mira Road East,1137 sq.ft,1.0 Cr,8.79 K/sq.ft
2 BHK Flat for sale in Sion,900 sq.ft,1.45 Cr,16.11 K/sq.ft
2 BHK Flat for sale in Vasai East,980 sq.ft,56.0 L,5.71 K/sq.ft
3 BHK Flat for sale in Mulund West,1489 sq.ft,3.17 Cr,21.29 K/sq.ft
1 BHK Flat for sale in Nalasopara West,484 sq.ft,24.4 L,5.04 K/sq.ft
1 BHK Flat for sale in Vasai East,640 sq.ft,31.0 L,4.84 K/sq.ft
Dynamix Astrum,"2, 3 BHK Apartments",1.99 Cr - 3.55 Cr,19.20 K/sq.ft
NG Platinum City,1 BHK Apartment,36.5 L,8.29 K/sq.ft
Shantidham,1 BHK Apartment,73.96 L - 83.89 L,17.50 K/sq.ft
Pragati Pant Nagar Gulmohar CHS LTD,"1, 2, 3 BHK Apartments",84.71 L - 1.73 Cr,19.50 K/sq.ft
Runwal Avenue,"1, 2, 3 BHK Apartments",85 L - 1.82 Cr,18.02 K/sq.ft
Sugee Akanksha,"2, 3 BHK Apartments",3.6 Cr - 5.96 Cr,51.43 K/sq.ft
Gorai Laxmi CHSL Casa Bellisimo,2 BHK Apartment,1.3 Cr - 1.6 Cr,17.62 K/sq.ft
Roha Vatika,"1, 2 BHK Apartments",88.5 L - 1.23 Cr,18.76 K/sq.ft
Supreme Elenor,"2, 3 BHK Apartments",2.43 Cr - 3.6 Cr,28.22 K/sq.ft
Alfa Mana A M Residency,"1, 2, 3 BHK Apartments",1.4 Cr - 2.8 Cr,40.00 K/sq.ft
Monte South,"2, 2.5, 3, 3.5 BHK Apartments",3.99 Cr - 7.37 Cr,46.89 K/sq.ft
Imperial Splendora,"1, 2 BHK Apartments",33.8 L - 53.82 L,5.20 K/sq.ft
Mariyam Heritage,"1, 2 BHK Apartments",31.35 L - 41.8 L,8.71 K/sq.ft
KP Krishna,"1, 2 BHK Apartments",1.41 Cr - 1.93 Cr,29.00 K/sq.ft
Aplite Greenstone Heritage,"1, 2 BHK Apartments",1.38 Cr - 2.72 Cr,"Apr, 2024"
Oyster Living Celestial Living,"1, 2 BHK Apartments",56.7 L - 84.6 L,"Dec, 2025"
Integrated Arya,"1, 2 BHK Apartments",1.08 Cr - 1.5 Cr,22.11 K/sq.ft
Samar Heights,2 BHK Apartment,1.49 Cr,24.35 K/sq.ft
Kukreja Gardens,"1, 2 BHK Apartments",1.09 Cr - 1.39 Cr,20.00 K/sq.ft
Romell Vasanthi,2 BHK Apartment,1.43 Cr,26.14 K/sq.ft
Srishti Launch Code Blockbuster Living,1 BHK Apartment,75.0 L,19.04 K/sq.ft
Guru Dwarka,"1, 2 BHK Apartments",79.49 L - 1.11 Cr,16.01 K/sq.ft
K Raheja Vivarea Building No 3 Tower E,"3, 4 BHK Apartments",12.25 Cr - 19.5 Cr,50.65 K/sq.ft
2 BHK Flat for sale in Andheri West,1050 sq.ft,2.65 Cr,25.24 K/sq.ft
3 BHK Flat for sale in Santacruz West,1550 sq.ft,4.75 Cr,30.64 K/sq.ft
2 BHK Flat for sale in Mira Road East,1050 sq.ft,88.0 L,8.38 K/sq.ft
Codename Hello Epic,"2, 2.5 BHK Apartments",2.5 Cr - 3.92 Cr,35.12 K/sq.ft
Meru Yojan One,"1, 2 BHK Apartments",92.25 L - 1.48 Cr,25.00 K/sq.ft
Supreme Melange,3 BHK Apartment,5.85 Cr - 8.5 Cr,43.40 K/sq.ft
Vihar Heights,"1, 2 BHK Apartments",91.68 L - 1.27 Cr,24.00 K/sq.ft
Shree Mount Resort,"3, 4 BHK Apartments",4.36 Cr - 5.3 Cr,35.02 K/sq.ft
1 BHK Flat for sale in Kandivali West,511 sq.ft,84.0 L,16.44 K/sq.ft
2 BHK Flat for sale in Mira Road East,1137 sq.ft,1.0 Cr,8.79 K/sq.ft
2 BHK Flat for sale in Sion,900 sq.ft,1.45 Cr,16.11 K/sq.ft
2 BHK Flat for sale in Vasai East,980 sq.ft,56.0 L,5.71 K/sq.ft
3 BHK Flat for sale in Mulund West,1489 sq.ft,3.17 Cr,21.29 K/sq.ft
1 BHK Flat for sale in Nalasopara West,484 sq.ft,24.4 L,5.04 K/sq.ft
1 BHK Flat for sale in Vasai East,640 sq.ft,31.0 L,4.84 K/sq.ft
Dynamix Astrum,"2, 3 BHK Apartments",1.99 Cr - 3.55 Cr,19.20 K/sq.ft
NG Platinum City,1 BHK Apartment,36.5 L,8.29 K/sq.ft
Shantidham,1 BHK Apartment,73.96 L - 83.89 L,17.50 K/sq.ft
Pragati Pant Nagar Gulmohar CHS LTD,"1, 2, 3 BHK Apartments",84.71 L - 1.73 Cr,19.50 K/sq.ft
Runwal Avenue,"1, 2, 3 BHK Apartments",85 L - 1.82 Cr,18.02 K/sq.ft
Sugee Akanksha,"2, 3 BHK Apartments",3.6 Cr - 5.96 Cr,51.43 K/sq.ft
Gorai Laxmi CHSL Casa Bellisimo,2 BHK Apartment,1.3 Cr - 1.6 Cr,17.62 K/sq.ft
Roha Vatika,"1, 2 BHK Apartments",88.5 L - 1.23 Cr,18.76 K/sq.ft
Supreme Elenor,"2, 3 BHK Apartments",2.43 Cr - 3.6 Cr,28.22 K/sq.ft
Alfa Mana A M Residency,"1, 2, 3 BHK Apartments",1.4 Cr - 2.8 Cr,40.00 K/sq.ft
Monte South,"2, 2.5, 3, 3.5 BHK Apartments",3.99 Cr - 7.37 Cr,46.89 K/sq.ft
Imperial Splendora,"1, 2 BHK Apartments",33.8 L - 53.82 L,5.20 K/sq.ft
Mariyam Heritage,"1, 2 BHK Apartments",31.35 L - 41.8 L,8.71 K/sq.ft
KP Krishna,"1, 2 BHK Apartments",1.41 Cr - 1.93 Cr,29.00 K/sq.ft
Aplite Greenstone Heritage,"1, 2 BHK Apartments",1.38 Cr - 2.72 Cr,"Apr, 2024"
Oyster Living Celestial Living,"1, 2 BHK Apartments",56.7 L - 84.6 L,"Dec, 2025"
Integrated Arya,"1, 2 BHK Apartments",1.08 Cr - 1.5 Cr,22.11 K/sq.ft
Samar Heights,2 BHK Apartment,1.49 Cr,24.35 K/sq.ft
Kukreja Gardens,"1, 2 BHK Apartments",1.09 Cr - 1.39 Cr,20.00 K/sq.ft
Romell Vasanthi,2 BHK Apartment,1.43 Cr,26.14 K/sq.ft
Srishti Launch Code Blockbuster Living,1 BHK Apartment,75.0 L,19.04 K/sq.ft
Guru Dwarka,"1, 2 BHK Apartments",79.49 L - 1.11 Cr,16.01 K/sq.ft
K Raheja Vivarea Building No 3 Tower E,"3, 4 BHK Apartments",12.25 Cr - 19.5 Cr,50.65 K/sq.ft
2 BHK Flat for sale in Andheri West,1050 sq.ft,2.65 Cr,25.24 K/sq.ft
3 BHK Flat for sale in Santacruz West,1550 sq.ft,4.75 Cr,30.64 K/sq.ft
2 BHK Flat for sale in Mira Road East,1050 sq.ft,88.0 L,8.38 K/sq.ft
Codename Hello Epic,"2, 2.5 BHK Apartments",2.5 Cr - 3.92 Cr,35.12 K/sq.ft
Meru Yojan One,"1, 2 BHK Apartments",92.25 L - 1.48 Cr,25.00 K/sq.ft
Supreme Melange,3 BHK Apartment,5.85 Cr - 8.5 Cr,43.40 K/sq.ft
Vihar Heights,"1, 2 BHK Apartments",91.68 L - 1.27 Cr,24.00 K/sq.ft
Shree Mount Resort,"3, 4 BHK Apartments",4.36 Cr - 5.3 Cr,35.02 K/sq.ft
1 BHK Flat for sale in Kandivali West,511 sq.ft,84.0 L,16.44 K/sq.ft
2 BHK Flat for sale in Mira Road East,1137 sq.ft,1.0 Cr,8.79 K/sq.ft
2 BHK Flat for sale in Sion,900 sq.ft,1.45 Cr,16.11 K/sq.ft
2 BHK Flat for sale in Vasai East,980 sq.ft,56.0 L,5.71 K/sq.ft
3 BHK Flat for sale in Mulund West,1489 sq.ft,3.17 Cr,21.29 K/sq.ft
1 BHK Flat for sale in Nalasopara West,484 sq.ft,24.4 L,5.04 K/sq.ft
1 BHK Flat for sale in Vasai East,640 sq.ft,31.0 L,4.84 K/sq.ft
Dynamix Astrum,"2, 3 BHK Apartments",1.99 Cr - 3.55 Cr,19.20 K/sq.ft
NG Platinum City,1 BHK Apartment,36.5 L,8.29 K/sq.ft
Shantidham,1 BHK Apartment,73.96 L - 83.89 L,17.50 K/sq.ft
Pragati Pant Nagar Gulmohar CHS LTD,"1, 2, 3 BHK Apartments",84.71 L - 1.73 Cr,19.50 K/sq.ft
Runwal Avenue,"1, 2, 3 BHK Apartments",85 L - 1.82 Cr,18.02 K/sq.ft
Sugee Akanksha,"2, 3 BHK Apartments",3.6 Cr - 5.96 Cr,51.43 K/sq.ft
Gorai Laxmi CHSL Casa Bellisimo,2 BHK Apartment,1.3 Cr - 1.6 Cr,17.62 K/sq.ft
Roha Vatika,"1, 2 BHK Apartments",88.5 L - 1.23 Cr,18.76 K/sq.ft
Supreme Elenor,"2, 3 BHK Apartments",2.43 Cr - 3.6 Cr,28.22 K/sq.ft
Alfa Mana A M Residency,"1, 2, 3 BHK Apartments",1.4 Cr - 2.8 Cr,40.00 K/sq.ft
Monte South,"2, 2.5, 3, 3.5 BHK Apartments",3.99 Cr - 7.37 Cr,46.89 K/sq.ft
Imperial Splendora,"1, 2 BHK Apartments",33.8 L - 53.82 L,5.20 K/sq.ft
Mariyam Heritage,"1, 2 BHK Apartments",31.35 L - 41.8 L,8.71 K/sq.ft
KP Krishna,"1, 2 BHK Apartments",1.41 Cr - 1.93 Cr,29.00 K/sq.ft
Aplite Greenstone Heritage,"1, 2 BHK Apartments",1.38 Cr - 2.72 Cr,"Apr, 2024"
Oyster Living Celestial Living,"1, 2 BHK Apartments",56.7 L - 84.6 L,"Dec, 2025"
Integrated Arya,"1, 2 BHK Apartments",1.08 Cr - 1.5 Cr,22.11 K/sq.ft
Samar Heights,2 BHK Apartment,1.49 Cr,24.35 K/sq.ft
Kukreja Gardens,"1, 2 BHK Apartments",1.09 Cr - 1.39 Cr,20.00 K/sq.ft
Romell Vasanthi,2 BHK Apartment,1.43 Cr,26.14 K/sq.ft
Srishti Launch Code Blockbuster Living,1 BHK Apartment,75.0 L,19.04 K/sq.ft
Guru Dwarka,"1, 2 BHK Apartments",79.49 L - 1.11 Cr,16.01 K/sq.ft
K Raheja Vivarea Building No 3 Tower E,"3, 4 BHK Apartments",12.25 Cr - 19.5 Cr,50.65 K/sq.ft
2 BHK Flat for sale in Andheri West,1050 sq.ft,2.65 Cr,25.24 K/sq.ft
3 BHK Flat for sale in Santacruz West,1550 sq.ft,4.75 Cr,30.64 K/sq.ft
2 BHK Flat for sale in Mira Road East,1050 sq.ft,88.0 L,8.38 K/sq.ft
Codename Hello Epic,"2, 2.5 BHK Apartments",2.5 Cr - 3.92 Cr,35.12 K/sq.ft
Meru Yojan One,"1, 2 BHK Apartments",92.25 L - 1.48 Cr,25.00 K/sq.ft
Supreme Melange,3 BHK Apartment,5.85 Cr - 8.5 Cr,43.40 K/sq.ft
Vihar Heights,"1, 2 BHK Apartments",91.68 L - 1.27 Cr,24.00 K/sq.ft
Shree Mount Resort,"3, 4 BHK Apartments",4.36 Cr - 5.3 Cr,35.02 K/sq.ft
1 BHK Flat for sale in Kandivali West,511 sq.ft,84.0 L,16.44 K/sq.ft
2 BHK Flat for sale in Mira Road East,1137 sq.ft,1.0 Cr,8.79 K/sq.ft
2 BHK Flat for sale in Sion,900 sq.ft,1.45 Cr,16.11 K/sq.ft
2 BHK Flat for sale in Vasai East,980 sq.ft,56.0 L,5.71 K/sq.ft
3 BHK Flat for sale in Mulund West,1489 sq.ft,3.17 Cr,21.29 K/sq.ft
1 BHK Flat for sale in Nalasopara West,484 sq.ft,24.4 L,5.04 K/sq.ft
1 BHK Flat for sale in Vasai East,640 sq.ft,31.0 L,4.84 K/sq.ft
Dynamix Astrum,"2, 3 BHK Apartments",1.99 Cr - 3.55 Cr,19.20 K/sq.ft
NG Platinum City,1 BHK Apartment,36.5 L,8.29 K/sq.ft
Shantidham,1 BHK Apartment,73.96 L - 83.89 L,17.50 K/sq.ft
Pragati Pant Nagar Gulmohar CHS LTD,"1, 2, 3 BHK Apartments",84.71 L - 1.73 Cr,19.50 K/sq.ft
Runwal Avenue,"1, 2, 3 BHK Apartments",85 L - 1.82 Cr,18.02 K/sq.ft
Sugee Akanksha,"2, 3 BHK Apartments",3.6 Cr - 5.96 Cr,51.43 K/sq.ft
Gorai Laxmi CHSL Casa Bellisimo,2 BHK Apartment,1.3 Cr - 1.6 Cr,17.62 K/sq.ft
Roha Vatika,"1, 2 BHK Apartments",88.5 L - 1.23 Cr,18.76 K/sq.ft
Supreme Elenor,"2, 3 BHK Apartments",2.43 Cr - 3.6 Cr,28.22 K/sq.ft
Alfa Mana A M Residency,"1, 2, 3 BHK Apartments",1.4 Cr - 2.8 Cr,40.00 K/sq.ft
Monte South,"2, 2.5, 3, 3.5 BHK Apartments",3.99 Cr - 7.37 Cr,46.89 K/sq.ft
Imperial Splendora,"1, 2 BHK Apartments",33.8 L - 53.82 L,5.20 K/sq.ft
Mariyam Heritage,"1, 2 BHK Apartments",31.35 L - 41.8 L,8.71 K/sq.ft
KP Krishna,"1, 2 BHK Apartments",1.41 Cr - 1.93 Cr,29.00 K/sq.ft
Aplite Greenstone Heritage,"1, 2 BHK Apartments",1.38 Cr - 2.72 Cr,"Apr, 2024"
Oyster Living Celestial Living,"1, 2 BHK Apartments",56.7 L - 84.6 L,"Dec, 2025"
Integrated Arya,"1, 2 BHK Apartments",1.08 Cr - 1.5 Cr,22.11 K/sq.ft
Samar Heights,2 BHK Apartment,1.49 Cr,24.35 K/sq.ft
Kukreja Gardens,"1, 2 BHK Apartments",1.09 Cr - 1.39 Cr,20.00 K/sq.ft
Romell Vasanthi,2 BHK Apartment,1.43 Cr,26.14 K/sq.ft
Srishti Launch Code Blockbuster Living,1 BHK Apartment,75.0 L,19.04 K/sq.ft
Guru Dwarka,"1, 2 BHK Apartments",79.49 L - 1.11 Cr,16.01 K/sq.ft
K Raheja Vivarea Building No 3 Tower E,"3, 4 BHK Apartments",12.25 Cr - 19.5 Cr,50.65 K/sq.ft
2 BHK Flat for sale in Andheri West,1050 sq.ft,2.65 Cr,25.24 K/sq.ft
3 BHK Flat for sale in Santacruz West,1550 sq.ft,4.75 Cr,30.64 K/sq.ft
2 BHK Flat for sale in Mira Road East,1050 sq.ft,88.0 L,8.38 K/sq.ft
Codename Hello Epic,"2, 2.5 BHK Apartments",2.5 Cr - 3.92 Cr,35.12 K/sq.ft
Meru Yojan One,"1, 2 BHK Apartments",92.25 L - 1.48 Cr,25.00 K/sq.ft
Supreme Melange,3 BHK Apartment,5.85 Cr - 8.5 Cr,43.40 K/sq.ft
Vihar Heights,"1, 2 BHK Apartments",91.68 L - 1.27 Cr,24.00 K/sq.ft
Shree Mount Resort,"3, 4 BHK Apartments",4.36 Cr - 5.3 Cr,35.02 K/sq.ft
1 BHK Flat for sale in Kandivali West,511 sq.ft,84.0 L,16.44 K/sq.ft
2 BHK Flat for sale in Mira Road East,1137 sq.ft,1.0 Cr,8.79 K/sq.ft
2 BHK Flat for sale in Sion,900 sq.ft,1.45 Cr,16.11 K/sq.ft
2 BHK Flat for sale in Vasai East,980 sq.ft,56.0 L,5.71 K/sq.ft
3 BHK Flat for sale in Mulund West,1489 sq.ft,3.17 Cr,21.29 K/sq.ft
1 BHK Flat for sale in Nalasopara West,484 sq.ft,24.4 L,5.04 K/sq.ft
1 BHK Flat for sale in Vasai East,640 sq.ft,31.0 L,4.84 K/sq.ft
Dynamix Astrum,"2, 3 BHK Apartments",1.99 Cr - 3.55 Cr,19.20 K/sq.ft
NG Platinum City,1 BHK Apartment,36.5 L,8.29 K/sq.ft
Shantidham,1 BHK Apartment,73.96 L - 83.89 L,17.50 K/sq.ft
Pragati Pant Nagar Gulmohar CHS LTD,"1, 2, 3 BHK Apartments",84.71 L - 1.73 Cr,19.50 K/sq.ft
Runwal Avenue,"1, 2, 3 BHK Apartments",85 L - 1.82 Cr,18.02 K/sq.ft
Sugee Akanksha,"2, 3 BHK Apartments",3.6 Cr - 5.96 Cr,51.43 K/sq.ft
Gorai Laxmi CHSL Casa Bellisimo,2 BHK Apartment,1.3 Cr - 1.6 Cr,17.62 K/sq.ft
Roha Vatika,"1, 2 BHK Apartments",88.5 L - 1.23 Cr,18.76 K/sq.ft
Supreme Elenor,"2, 3 BHK Apartments",2.43 Cr - 3.6 Cr,28.22 K/sq.ft
Alfa Mana A M Residency,"1, 2, 3 BHK Apartments",1.4 Cr - 2.8 Cr,40.00 K/sq.ft
Monte South,"2, 2.5, 3, 3.5 BHK Apartments",3.99 Cr - 7.37 Cr,46.89 K/sq.ft
Imperial Splendora,"1, 2 BHK Apartments",33.8 L - 53.82 L,5.20 K/sq.ft
Mariyam Heritage,"1, 2 BHK Apartments",31.35 L - 41.8 L,8.71 K/sq.ft
KP Krishna,"1, 2 BHK Apartments",1.41 Cr - 1.93 Cr,29.00 K/sq.ft
Aplite Greenstone Heritage,"1, 2 BHK Apartments",1.38 Cr - 2.72 Cr,"Apr, 2024"
Oyster Living Celestial Living,"1, 2 BHK Apartments",56.7 L - 84.6 L,"Dec, 2025"
Integrated Arya,"1, 2 BHK Apartments",1.08 Cr - 1.5 Cr,22.11 K/sq.ft
Samar Heights,2 BHK Apartment,1.49 Cr,24.35 K/sq.ft
Kukreja Gardens,"1, 2 BHK Apartments",1.09 Cr - 1.39 Cr,20.00 K/sq.ft
Romell Vasanthi,2 BHK Apartment,1.43 Cr,26.14 K/sq.ft
Srishti Launch Code Blockbuster Living,1 BHK Apartment,75.0 L,19.04 K/sq.ft
Guru Dwarka,"1, 2 BHK Apartments",79.49 L - 1.11 Cr,16.01 K/sq.ft
K Raheja Vivarea Building No 3 Tower E,"3, 4 BHK Apartments",12.25 Cr - 19.5 Cr,50.65 K/sq.ft
2 BHK Flat for sale in Andheri West,1050 sq.ft,2.65 Cr,25.24 K/sq.ft
3 BHK Flat for sale in Santacruz West,1550 sq.ft,4.75 Cr,30.64 K/sq.ft
2 BHK Flat for sale in Mira Road East,1050 sq.ft,88.0 L,8.38 K/sq.ft
Codename Hello Epic,"2, 2.5 BHK Apartments",2.5 Cr - 3.92 Cr,35.12 K/sq.ft
Meru Yojan One,"1, 2 BHK Apartments",92.25 L - 1.48 Cr,25.00 K/sq.ft
Supreme Melange,3 BHK Apartment,5.85 Cr - 8.5 Cr,43.40 K/sq.ft
Vihar Heights,"1, 2 BHK Apartments",91.68 L - 1.27 Cr,24.00 K/sq.ft
Shree Mount Resort,"3, 4 BHK Apartments",4.36 Cr - 5.3 Cr,35.02 K/sq.ft
1 BHK Flat for sale in Kandivali West,511 sq.ft,84.0 L,16.44 K/sq.ft
2 BHK Flat for sale in Mira Road East,1137 sq.ft,1.0 Cr,8.79 K/sq.ft
2 BHK Flat for sale in Sion,900 sq.ft,1.45 Cr,16.11 K/sq.ft
2 BHK Flat for sale in Vasai East,980 sq.ft,56.0 L,5.71 K/sq.ft
3 BHK Flat for sale in Mulund West,1489 sq.ft,3.17 Cr,21.29 K/sq.ft
1 BHK Flat for sale in Nalasopara West,484 sq.ft,24.4 L,5.04 K/sq.ft
1 BHK Flat for sale in Vasai East,640 sq.ft,31.0 L,4.84 K/sq.ft
Dynamix Astrum,"2, 3 BHK Apartments",1.99 Cr - 3.55 Cr,19.20 K/sq.ft
NG Platinum City,1 BHK Apartment,36.5 L,8.29 K/sq.ft
Shantidham,1 BHK Apartment,73.96 L - 83.89 L,17.50 K/sq.ft
Pragati Pant Nagar Gulmohar CHS LTD,"1, 2, 3 BHK Apartments",84.71 L - 1.73 Cr,19.50 K/sq.ft
Runwal Avenue,"1, 2, 3 BHK Apartments",85 L - 1.82 Cr,18.02 K/sq.ft
Sugee Akanksha,"2, 3 BHK Apartments",3.6 Cr - 5.96 Cr,51.43 K/sq.ft
Gorai Laxmi CHSL Casa Bellisimo,2 BHK Apartment,1.3 Cr - 1.6 Cr,17.62 K/sq.ft
Roha Vatika,"1, 2 BHK Apartments",88.5 L - 1.23 Cr,18.76 K/sq.ft
Supreme Elenor,"2, 3 BHK Apartments",2.43 Cr - 3.6 Cr,28.22 K/sq.ft
Alfa Mana A M Residency,"1, 2, 3 BHK Apartments",1.4 Cr - 2.8 Cr,40.00 K/sq.ft
Monte South,"2, 2.5, 3, 3.5 BHK Apartments",3.99 Cr - 7.37 Cr,46.89 K/sq.ft
Imperial Splendora,"1, 2 BHK Apartments",33.8 L - 53.82 L,5.20 K/sq.ft
Mariyam Heritage,"1, 2 BHK Apartments",31.35 L - 41.8 L,8.71 K/sq.ft
KP Krishna,"1, 2 BHK Apartments",1.41 Cr - 1.93 Cr,29.00 K/sq.ft
Aplite Greenstone Heritage,"1, 2 BHK Apartments",1.38 Cr - 2.72 Cr,"Apr, 2024"
Oyster Living Celestial Living,"1, 2 BHK Apartments",56.7 L - 84.6 L,"Dec, 2025"
Integrated Arya,"1, 2 BHK Apartments",1.08 Cr - 1.5 Cr,22.11 K/sq.ft
Samar Heights,2 BHK Apartment,1.49 Cr,24.35 K/sq.ft
Kukreja Gardens,"1, 2 BHK Apartments",1.09 Cr - 1.39 Cr,20.00 K/sq.ft
Romell Vasanthi,2 BHK Apartment,1.43 Cr,26.14 K/sq.ft
Srishti Launch Code Blockbuster Living,1 BHK Apartment,75.0 L,19.04 K/sq.ft
Guru Dwarka,"1, 2 BHK Apartments",79.49 L - 1.11 Cr,16.01 K/sq.ft
K Raheja Vivarea Building No 3 Tower E,"3, 4 BHK Apartments",12.25 Cr - 19.5 Cr,50.65 K/sq.ft
2 BHK Flat for sale in Andheri West,1050 sq.ft,2.65 Cr,25.24 K/sq.ft
3 BHK Flat for sale in Santacruz West,1550 sq.ft,4.75 Cr,30.64 K/sq.ft
2 BHK Flat for sale in Mira Road East,1050 sq.ft,88.0 L,8.38 K/sq.ft
Codename Hello Epic,"2, 2.5 BHK Apartments",2.5 Cr - 3.92 Cr,35.12 K/sq.ft
Meru Yojan One,"1, 2 BHK Apartments",92.25 L - 1.48 Cr,25.00 K/sq.ft
Supreme Melange,3 BHK Apartment,5.85 Cr - 8.5 Cr,43.40 K/sq.ft
Vihar Heights,"1, 2 BHK Apartments",91.68 L - 1.27 Cr,24.00 K/sq.ft
Shree Mount Resort,"3, 4 BHK Apartments",4.36 Cr - 5.3 Cr,35.02 K/sq.ft
1 BHK Flat for sale in Kandivali West,511 sq.ft,84.0 L,16.44 K/sq.ft
2 BHK Flat for sale in Mira Road East,1137 sq.ft,1.0 Cr,8.79 K/sq.ft
2 BHK Flat for sale in Sion,900 sq.ft,1.45 Cr,16.11 K/sq.ft
2 BHK Flat for sale in Vasai East,980 sq.ft,56.0 L,5.71 K/sq.ft
3 BHK Flat for sale in Mulund West,1489 sq.ft,3.17 Cr,21.29 K/sq.ft
1 BHK Flat for sale in Nalasopara West,484 sq.ft,24.4 L,5.04 K/sq.ft
1 BHK Flat for sale in Vasai East,640 sq.ft,31.0 L,4.84 K/sq.ft
Dynamix Astrum,"2, 3 BHK Apartments",1.99 Cr - 3.55 Cr,19.20 K/sq.ft
NG Platinum City,1 BHK Apartment,36.5 L,8.29 K/sq.ft
Shantidham,1 BHK Apartment,73.96 L - 83.89 L,17.50 K/sq.ft
Pragati Pant Nagar Gulmohar CHS LTD,"1, 2, 3 BHK Apartments",84.71 L - 1.73 Cr,19.50 K/sq.ft
Runwal Avenue,"1, 2, 3 BHK Apartments",85 L - 1.82 Cr,18.02 K/sq.ft
Sugee Akanksha,"2, 3 BHK Apartments",3.6 Cr - 5.96 Cr,51.43 K/sq.ft
Gorai Laxmi CHSL Casa Bellisimo,2 BHK Apartment,1.3 Cr - 1.6 Cr,17.62 K/sq.ft
Roha Vatika,"1, 2 BHK Apartments",88.5 L - 1.23 Cr,18.76 K/sq.ft
Supreme Elenor,"2, 3 BHK Apartments",2.43 Cr - 3.6 Cr,28.22 K/sq.ft
Alfa Mana A M Residency,"1, 2, 3 BHK Apartments",1.4 Cr - 2.8 Cr,40.00 K/sq.ft
Monte South,"2, 2.5, 3, 3.5 BHK Apartments",3.99 Cr - 7.37 Cr,46.89 K/sq.ft
Imperial Splendora,"1, 2 BHK Apartments",33.8 L - 53.82 L,5.20 K/sq.ft
Mariyam Heritage,"1, 2 BHK Apartments",31.35 L - 41.8 L,8.71 K/sq.ft
KP Krishna,"1, 2 BHK Apartments",1.41 Cr - 1.93 Cr,29.00 K/sq.ft
Aplite Greenstone Heritage,"1, 2 BHK Apartments",1.38 Cr - 2.72 Cr,"Apr, 2024"
Oyster Living Celestial Living,"1, 2 BHK Apartments",56.7 L - 84.6 L,"Dec, 2025"
Integrated Arya,"1, 2 BHK Apartments",1.08 Cr - 1.5 Cr,22.11 K/sq.ft
Samar Heights,2 BHK Apartment,1.49 Cr,24.35 K/sq.ft
Kukreja Gardens,"1, 2 BHK Apartments",1.09 Cr - 1.39 Cr,20.00 K/sq.ft
Romell Vasanthi,2 BHK Apartment,1.43 Cr,26.14 K/sq.ft
Srishti Launch Code Blockbuster Living,1 BHK Apartment,75.0 L,19.04 K/sq.ft
Guru Dwarka,"1, 2 BHK Apartments",79.49 L - 1.11 Cr,16.01 K/sq.ft
